City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,George Town,5.41,100.34,78.8,88,20,4.7,MY,2020-10-21 00:01:20
1,Mataura,-46.19,168.86,55.99,62,25,7.0,NZ,2020-10-21 00:04:03
2,Hong Kong,22.29,114.16,73.0,71,79,1.01,HK,2020-10-21 00:04:21
3,Zemio,5.03,25.14,71.02,93,100,1.74,CF,2020-10-21 00:08:02
4,Dwārka,22.24,68.97,83.26,79,0,7.65,IN,2020-10-21 00:06:04
5,Turaif,31.67,38.66,60.8,26,0,4.7,SA,2020-10-21 00:08:02
6,Kapaa,22.08,-159.32,81.0,88,90,8.05,US,2020-10-21 00:03:58
7,Puerto Ayora,-0.74,-90.35,70.0,91,78,7.0,EC,2020-10-21 00:04:01
8,Bredasdorp,-34.53,20.04,42.8,87,0,4.7,ZA,2020-10-21 00:02:19
9,Tahe,52.33,124.73,34.97,87,58,3.44,CN,2020-10-21 00:08:04
10,Kondinskoye,59.65,67.41,34.16,93,100,5.91,RU,2020-10-21 00:08:04
11,Ushuaia,-54.8,-68.3,42.8,81,40,6.93,AR,2020-10-21 00:01:28
12,Bambous Virieux,-20.34,57.76,73.99,83,40,8.05,MU,2020-10-21 00:02:29
13,Rikitea,-23.12,-134.97,73.85,77,2,11.05,PF,2020-10-21 00:04:08
14,Jijiga,9.35,42.8,62.94,46,0,7.49,ET,2020-10-21 00:08:05
15,Jamestown,42.1,-79.24,48.0,93,90,5.82,US,2020-10-21 00:03:29
16,Bluff,-46.6,168.33,55.99,62,59,7.0,NZ,2020-10-21 00:03:06
17,Deniliquin,-35.53,144.97,71.74,46,55,2.33,AU,2020-10-21 00:08:06
18,Bengkulu,-3.8,102.27,78.08,77,98,3.18,ID,2020-10-21 00:04:26
19,Kaitangata,-46.28,169.85,55.35,49,72,0.63,NZ,2020-10-21 00:08:06
20,Paso de Carrasco,-34.86,-56.05,54.0,50,89,19.46,UY,2020-10-21 00:08:07
